index,descriptors,type,tags,combinations
1070,mobile phone shop,core,shop=mobile_phone,
1075,bicycle shop,core,shop=bicycle,
1076,boat shop,core,shop=boat,
1077,car shop,core,"shop=car, shop=car_repair, shop=car_parts",
1081,fuel shop,core,shop=fuel,
1084,hunting shop,core,shop=hunting,
1086,military surplus shop,core,shop=military_surplus,
1087,motorcycle shop,core,shop=motorcycle,
1092,sports shop,core,shop=sports,
1096,art store,core,shop=art,
1097,camera shop,core,shop=camera,
1103,music shop,core,shop=music,
1110,books shop,core,shop=books,
1112,lottery shop,core,shop=lottery,
1123,laundry shop|laundry place,core,shop=laundry,
1136,travel agency,core,shop=travel_agency,
1137,weapon shop,core,shop=weapons,
1138,vacant shop,core,shop=vacant,
1151,baseball facility|baseball field,core,sport=baseball,
1152,basketball facility|basketball field,core,sport=basketball,
1182,fitness facility|fitness studio,core,sport=fitness,
1190,golf facility|golf course,core,sport=golf,
1196,horse racing track,core,sport=horse_racing,
1197,ice hockey field|ice hockey facilty,core,sport=ice_hockey,
1198,ice skating field|ice skating hall,core,sport=ice_skating,
1214,sports facility|sports hall|sports center,core,"sport=multi, building=sports_hall",
1243,soccer field| soccer hall|soccer facility,core,sport=soccer,
1253,tennis court|tennis facility,core,sport=tennis,
1270,data center,core,telecom=data_center,
1271,alpine hut,core,tourism=alpine_hut,
1273,aquarium,core,tourism=aquarium,
1275,tourist attraction,core,tourism=attraction,
1277,camp site,core,"tourism=camp_site, tourism=camp_pitch",
1278,parking lot for campers|caravan site|Caravan site|parking area for motorhomes,core,tourism=caravan_site,
1279,chalet,core,tourism=chalet,
1281,guest house,core,tourism=guest_house,
1282,hostel,core,tourism=hostel,
1283,hotel,core,tourism=hotel,
1284,tourist information,core,tourism=information,
1285,motel,core,tourism=motel,
1286,museum,core,tourism=museum,
1287,picnic site,core,tourism=picnic_site,
1288,amusement park|carnival|fairground|funfair|festival ground|Fair|theme park,core,"tourism=theme_park, landuse=fairground, landuse=recreation_ground, recreation_ground=showground, amenity=festival_grounds, leisure=festival_grounds",
1289,viewpoint,core,tourism=viewpoint,
1291,zoo,core,tourism=zoo,
1293,canal|stream|river|channel,core,"water=river, water=canal, waterway=river, waterway=stream, waterway=canal",
1296,ditch|trench,core,"water=ditch, waterway=drain, waterway=ditch, barrier=ditch",
1297,lock for boats|lock,core,water=lock,
1299,lake|pond,core,"water=lake, water=pond",
1302,basin|reservoir|salt pond,core,"water=basin, landuse=basin, landuse=reservoir, landuse=salt_pond, water=basin, water=reservoir, man_made=reservoir_covered",
1303,lagoon,core,water=lagoon,
1306,moat,core,water=moat,
1307,wastewater,core,water=wastewater,
1317,ship repair dock|dry dock|boatyard,core,"waterway=dock, waterway=boatyard",
1319,dam,core,waterway=dam,
1320,weir,core,waterway=weir,
1321,waterfall,core,waterway=waterfall,
1326,boat fuelling station|ship fuelling station,core,waterway=fuel,
1331,street name,attr,addr:street=***any***,
1376,name,attr,name=***any***,
1502,toll road,attr,toll=yes,
1503,city limit sign,core,traffic_sign=city_limit,
2450,living street|neighbourhood street|residential road,core,"highway=residential, highway=living_street, highway=service",
9000,divided highway|dual carriageway road|Dual carriageway,core,"dual_carriageway=yes, area:highway=traffic_island",
9001,monorail|single rail system|Monorail,core,railway=monorail,
9002,Funicular|funicular|cable railway|incline railway,core,railway=funicular,
9003,Train yard|railyard|rail yard|train depot,core,"landuse=depot, service=yard",
9004,inlet|Estuary|baymouth bar,core,estuary=yes,
9005,skyscraper|condominiums|tall buildings|High-rise apartments|high-rise buildings|skyline,core,building=* AND building:levels>10,
9006,clear cut patch|logging|clear cut area|Logging area|deforested area|strip clearcut,core,"landuse=logging, man_made=clearcut, man_made=cutline",
9007,street lanes|Car lanes|traffic lanes,attr,lanes=***numeric***,
9008,carpool lane|designated|HOV lane|High-occupancy vehicle lane,attr,"[""hov:lanes:forward:conditional""|""hov:lanes:backward:conditional""|""hov:lanes:forward""|""hov:lanes:backward""|""hov:lanes:conditional""|""hov:lanes""]=designated",
9009,lanes in each direction|lanes going in each direction,attr,lanes:forward=***numeric*** AND lanes:backward=***numeric***,
9010,cuisine,attr,cuisine=***any***,
9011,train station|station|railway station|railway passenger station|rairoad station|train platform,core,railway=station,
